,ylat,xlon,SSS,MLD,SST,pCO2,k=5,k=10,k=15
2791,-63.5,318.5,33.9378204346,4.19792032242,-0.567415118217,332.17853434,4,1,7
2792,-63.5,319.5,33.9270210266,4.19960689545,-0.61878234148,333.56376626,4,0,7
2793,-63.5,320.5,33.9157028198,4.20238780975,-0.664357483387,334.78253646,4,0,7
2794,-63.5,321.5,33.9042472839,4.20492172241,-0.705393016338,335.807077356,4,0,7
2795,-63.5,322.5,33.8926429749,4.20723676682,-0.742568850517,336.650981018,4,0,7
2796,-63.5,323.5,33.8813705444,4.2072763443,-0.777176678181,337.304592069,4,0,7
2797,-63.5,324.5,33.8703956604,4.20600938797,-0.815381467342,337.780522978,4,0,7
2798,-63.5,325.5,33.8593635559,4.20450305939,-0.860785722733,338.120862704,4,0,7
2799,-63.5,326.5,33.8479385376,4.20309972763,-0.909774720669,338.396700187,4,0,7
2800,-63.5,327.5,33.8361549377,4.20198726654,-0.955027699471,338.661824866,4,0,7
2801,-63.5,328.5,33.8245925903,4.20092630386,-0.996014177799,338.867952703,4,0,7
2802,-63.5,329.5,33.813583374,4.19804668427,-1.03270745277,339.032064033,4,0,7
2803,-63.5,330.5,33.8030433655,4.1938662529,-1.06366956234,339.238090089,4,0,7
2804,-63.5,331.5,33.7932167053,4.18972301483,-1.09236955643,339.426374735,4,0,7
2805,-63.5,332.5,33.7841491699,4.18585968018,-1.11826848984,339.567063584,4,0,7
2806,-63.5,333.5,33.7757148743,4.18171644211,-1.14028036594,339.667019827,4,0,7
2807,-63.5,334.5,33.7677650452,4.17717027664,-1.15812540054,339.73950518,4,0,7
2808,-63.5,335.5,33.7601776123,4.17244148254,-1.17236363888,339.786235797,4,0,7
2809,-63.5,336.5,33.752872467,4.16782283783,-1.18335473537,339.807371242,4,0,7
2810,-63.5,337.5,33.7458839417,4.16426086426,-1.19055390358,339.822867098,4,0,7
2811,-63.5,338.5,33.7396736145,4.1606593132,-1.20027649403,339.761361825,4,0,7
2812,-63.5,339.5,33.7338256836,4.15663146973,-1.20428431034,339.763464418,4,0,7
2813,-63.5,340.5,33.7281951904,4.15227270126,-1.20787119865,339.776231493,4,0,7
2814,-63.5,341.5,33.7229728699,4.14772081375,-1.21140670776,339.806860118,4,0,7
2815,-63.5,342.5,33.7181663513,4.14298868179,-1.21467268467,339.850807842,4,0,7
